AreaID(string),R1C1,R1C2,R1C3,R1C4,R1C5,R1C6,R1C7,R1C8,R1C9,R1C10,R1C11,R1C12,R2C1,R2C2,R2C3,R2C4,R2C5,R2C6,R2C7,R2C8,R2C9,R2C10,R2C11,R2C12,R3C1,R3C2,R3C3,R3C4,R3C5,R3C6,R3C7,R3C8,R3C9,R3C10,R3C11,R3C12,R4C1,R4C2,R4C3,R4C4,R4C5,R4C6,R4C7,R4C8,R4C9,R4C10,R4C11,R4C12,R5C1,R5C2,R5C3,R5C4,R5C5,R5C6,R5C7,R5C8,R5C9,R5C10,R5C11,R5C12,R6C1,R6C2,R6C3,R6C4,R6C5,R6C6,R6C7,R6C8,R6C9,R6C10,R6C11,R6C12,R7C1,R7C2,R7C3,R7C4,R7C5,R7C6,R7C7,R7C8,R7C9,R7C10,R7C11,R7C12,R8C1,R8C2,R8C3,R8C4,R8C5,R8C6,R8C7,R8C8,R8C9,R8C10,R8C11,R8C12,R9C1,R9C2,R9C3,R9C4,R9C5,R9C6,R9C7,R9C8,R9C9,R9C10,R9C11,R9C12,R10C1,R10C2,R10C3,R10C4,R10C5,R10C6,R10C7,R10C8,R10C9,R10C10,R10C11,R10C12,R11C1,R11C2,R11C3,R11C4,R11C5,R11C6,R11C7,R11C8,R11C9,R11C10,R11C11,R11C12,R12C1,R12C2,R12C3,R12C4,R12C5,R12C6,R12C7,R12C8,R12C9,R12C10,R12C11,R12C12,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12
00000,1566738,63,8148291,63474,0,11343,181,2269,0,1728,1516338,0,410,1501,13108162,380410,7618810,264,120,445,17,442,4412,1035,2970525,69677,133599329,17291297,1931102,3049731,1217533,7131711,2444626,1975673,30940560,270490,30170,2604,589394,37948,490238,276671,809437,358460,170921,324300,609237,0,126810,34241,6751733,242410,2741639,2367161,578134,894225,374831,635563,5731722,27782,843366,17469,13892564,3375890,518797,1031674,288723,1490588,603888,391574,10085389,47205,104481,41302,2534753,1038348,656641,4290337,10724395,2314830,1435416,900132,5010081,161231,727074,176147,7942962,2669553,1041515,5132988,1476462,6643436,1364670,1375475,5915574,443793,48697,6828,1895842,536093,453514,3563858,2323109,566315,8453606,1207264,9294128,354449,0,0,0,0,0,0,0,0,0,0,0,1157289,276644,46661,9839292,5847382,2531680,8377238,6618314,6811438,9190525,4742630,24178171,297348,50609,10384,937178,848712,110774,649760,305372,454627,132230,37193,1191459,0,12887622,847915,302809197,60836569,29179299,95478881,116167167,55009418,49974511,39739035,250195786,4692988
01000,314525,9,814378,4657,0,473,11,461,0,296,51546,0,23,94,652502,39191,60736,0,0,10,0,80,5,64,390864,11845,2171027,691976,86064,138592,37085,240801,64780,152849,1227540,11139,2176,224,6564,1166,13462,9656,28110,5409,3115,5667,15585,0,17589,4471,159924,10527,118540,105035,24087,26531,14364,39047,228517,1421,128374,2307,279500,158223,13942,51631,10536,20278,17579,28021,356858,2115,13455,4188,44105,45712,25405,180264,379939,70411,35036,76211,158321,6765,61047,2097,195385,101040,19041,74498,33252,327068,34137,74635,163410,17706,5149,819,23467,19299,18263,114314,49108,21445,196618,62075,202313,12502,0,0,0,0,0,0,0,0,0,0,0,24421,52575,4480,130878,336363,133509,267996,210777,222004,203824,259985,861212,19310,6187,1455,23966,38201,8272,29318,9117,21632,3268,1968,37947,0,1852363,81893,6830611,2817463,1099386,3646038,3792018,2176439,1336003,2661603,9090483,181792
02000,44772,1,191487,771,0,125,1,6,0,47,12641,0,10,66,24844,5495,50569,2,0,1,0,12,32,10,100929,1544,550920,171417,17387,25201,8575,68858,10467,43666,289040,2700,877,50,7256,345,3103,2341,5542,2556,972,4747,5256,0,2928,767,92709,2369,25688,24925,3701,5051,2876,11738,54246,281,27277,390,84499,31818,3228,8001,1976,17197,2589,7567,90123,472,2629,803,16720,11357,4237,31197,67579,19881,4387,18385,42044,1612,32216,5961,54381,32971,6287,47719,11718,42291,7322,31220,57946,4690,1745,133,9625,5647,3311,29746,16563,4606,46577,23468,43053,3544,0,0,0,0,0,0,0,0,0,0,0,11573,7834,832,59085,69368,19767,76682,48095,81563,39437,93238,187471,3089,1849,247,13384,7552,753,5507,1772,3542,703,714,10913,0,426841,18567,1820271,649567,232641,755368,794691,486767,233866,737832,2051450,46931
03000,45770.257,0.654,192467.755,2085.408,0,109.676,1.8,5.525,0,7.641,10311.104,0,21.369,38.28,13680.04,13972.991,9025.907,2.234,0.572,2.357,0.074,1.987,41.109,10.425,99360.228,2065.437,1027748.352,334541.793,12621.092,24232.255,9552.146,54818.818,11848.769,14219.494,278270.714,3128.318,676.273,72.739,4017.87,659.517,3030.148,2198.054,7214.957,2716.185,885.959,3431.14,5163.807,0,3660.014,729.522,46632.851,4413.518,24073.15,19837.765,3742.814,4872.446,2693.352,5072.966,47225.161,279.933,21281.765,531.337,104494.934,64481.135,1840.581,7723.029,2175.96,13775.789,3186.744,3238.496,82408.12,475.521,2489.816,1159.006,19134.463,22761.418,4928.555,26054.111,71125.427,13980.833,5745.016,6925.992,41134.031,1386.005,23343.554,5758.779,62413.674,59639.465,3751.694,32039.904,9247.713,27329.538,7814.72,9940.346,48859.114,3724.125,1245.217,120.01,14430.756,11956.604,4536.903,25460.832,16270.536,3580.27,50525.562,9553.395,47333.222,3112.541,0,0,0,0,0,0,0,0,0,0,0,11657.565,8668.134,897.261,74817.086,157932.978,36089.712,67328.326,44690.903,58592.011,47064.489,36301.146,178657.651,2749.052,1180.517,285.649,7491.658,13684.399,1142.409,5129.251,1808.167,3142.567,845.546,288.371,11153.048,0,368138.658,22991.405,2330543.36,1326003.642,170385.206,678740.657,896573.674,388101.703,270248.899,317102.301,2021872.081,45095.759
04000,36156,0,201794,2964,0,220,3,18,0,49,25104,0,7,6,288912,22020,64422,6,3,3,0,12,73,17,70056,2121,1502622,650586,20368,62096,15496,126185,26474,53363,557371,4715,623,78,7375,1326,5966,5639,13896,5890,2021,7710,10468,0,2682,583,86968,9481,29758,46539,8600,13011,5112,16112,100303,485,18053,572,180000,125452,5370,21309,3938,30131,6701,10118,176785,826,2624,1271,33567,42484,6554,91557,175624,38439,14925,23785,92831,2948,15842,5866,111855,107105,9838,107094,18710,79887,15953,35946,104903,7760,1143,87,23958,23015,5876,72791,29233,9897,111928,31256,129527,6201,0,0,0,0,0,0,0,0,0,0,0,20240,7533,835,112687,262592,26870,170312,89505,130665,101705,119977,425040,5200,1433,269,13257,29130,1386,13265,4141,8072,2202,978,22537,0,301479,22448,3896121,2444655,298886,1966372,1859952,960448,590292,1013545,4354654,82077
05000,24953,2,43949,595,0,88,1,10,0,11,10049,0,14,14,26884,4106,97392,1,0,0,0,3,23,6,41726,1137,528532,130870,28351,18523,6386,49550,8186,17094,228277,1710,558,48,3761,290,5428,1693,4338,1930,760,3885,4104,0,2257,700,43341,1679,37890,17206,1909,3081,1918,6602,44563,177,13450,277,68559,25583,6456,5856,1447,12870,2150,3875,73306,300,1740,745,13946,8408,9060,23060,48171,11474,3982,8465,34445,1025,12315,2356,39057,21314,12755,65978,7646,28807,5102,13201,44302,2823,670,155,11555,4460,5470,21550,11867,2173,37759,11883,41007,2254,0,0,0,0,0,0,0,0,0,0,0,7359,6177,1081,52451,52242,35079,51909,28882,47691,29917,49521,154454,1891,1083,166,4482,6067,1376,3940,1213,1555,747,351,8867,0,222018,14886,1347333,489921,382577,551325,591522,261243,185942,406594,1711874,29842
06000,29185,0,72017,644,0,95,2,2,0,14,10680,0,7,12,12975,3935,35554,2,0,0,0,3,19,7,52775,891,1001631,133923,8018,18397,7851,53523,6616,19092,227049,1938,671,28,4615,266,2691,1520,5722,1881,799,3153,3829,0,2355,324,45176,1528,20327,16446,2205,3517,1920,5887,40088,197,18203,234,140367,26462,2537,5652,1821,14712,1671,3955,72889,339,1697,466,21054,7516,3667,12901,58196,10507,2024,8560,22712,463,19657,3190,74673,26661,5820,34254,10832,27179,5419,16406,50351,3345,981,54,29761,4209,3245,21478,14610,2535,38667,12171,36721,2560,0,0,0,0,0,0,0,0,0,0,0,8321,3496,411,101742,53025,18013,52326,36138,58979,27800,51519,143714,2482,1397,128,7842,6304,828,3915,1499,2319,712,369,8887,0,272235,9765,2338743,508379,179113,543671,835213,336440,176709,405849,1704434,34403
07000,29902,0,126458,2587,0,164,2,1,0,43,21144,0,11,5,104381,18405,255170,4,0,2,0,11,55,19,51101,2724,2065640,463065,123199,36343,14208,128158,13726,55208,466306,5837,535,95,8897,720,11451,2192,7105,4313,781,7798,6371,0,2332,724,150943,7173,288626,32045,5244,10421,3459,18754,93988,542,16009,734,261572,89110,24160,11400,3226,32775,3464,11171,144603,950,1496,1152,41466,23250,21327,32507,87441,27514,4800,14028,47629,2017,13993,7053,162996,95192,49699,62623,20607,74439,10101,46558,101065,9468,887,100,48818,15686,16391,41128,26411,8654,66740,37976,78688,7282,0,0,0,0,0,0,0,0,0,0,0,23321,5492,1016,210965,181953,119602,100346,68861,132815,52266,138397,296019,6093,1159,222,14838,14897,4438,7590,2697,4959,1010,1042,13356,0,251878,26805,4866523,1752369,1335422,1070329,1300404,797356,322308,998091,3228522,66407
08000,47314,0,402031,1704,0,255,4,7,0,14,25883,0,9,11,711223,10639,247114,5,2,6,0,4,92,23,122121,2319,5693987,437005,42772,58372,17996,128598,18562,18988,681703,5934,1455,86,29079,950,12798,5318,14665,6496,1865,3749,14097,0,4315,645,257992,5236,52541,45436,7657,11605,5341,5950,122030,589,36334,621,588759,85277,14257,18922,4316,32610,5080,4048,209897,1036,3125,1377,110459,25941,19059,71505,159955,49147,12202,9045,101745,3363,31102,6469,355333,67714,30898,90738,21530,124889,14120,13978,145855,9702,1875,103,82720,13730,11283,67997,34498,8812,91319,12443,137101,7776,0,0,0,0,0,0,0,0,0,0,0,25389,9624,936,419834,149999,61380,163464,92620,131282,94074,50817,537788,7299,2130,297,42190,21349,3054,12418,4381,7582,1188,325,28537,0,506143,24674,13274970,1545463,868295,1759109,1937564,1070376,532140,757879,5906919,103490
09000,41113,1,185029,936,0,184,2,0,0,3,24364,0,7,56,24614,5849,17019,4,0,2,0,1,87,17,71066,3195,3420516,245030,10456,38280,15009,100273,7954,16611,491634,4652,1098,106,13829,522,4124,3485,10660,4280,1325,5766,10083,0,3370,1099,142021,3338,24198,35645,6303,7651,3420,8438,94454,477,20423,840,387491,47556,2382,11960,3486,27758,2226,4650,162484,813,2138,1717,72963,15162,6186,46794,126355,24244,7354,9441,72559,2774,20536,10419,208769,44124,5874,70604,20355,46117,8656,17881,113898,8022,1078,178,54372,7108,5591,44305,28159,5236,59979,14161,107104,6097,0,0,0,0,0,0,0,0,0,0,0,19912,6839,1358,303161,85855,47562,107001,75345,102658,52512,63658,358472,5115,1152,475,31949,12253,1366,8101,3449,4884,753,393,18602,0,313847,33361,8107652,875470,217187,1127968,1470590,641429,313442,509826,3822362,80741
